"id","backdrop_path","first_air_date","genre_ids","idDb","name","origin_country","original_language","original_name","overview","popularity","poster_path","vote_average","vote_count","nbr_seasons","nbr_episodes","page"
260,"/i75aWzwR06cCUwOTzS8zSWg8th8.jpg","1994-09-18","[10766,18]",6467,"Chicago Hope","[""US""]","en","Chicago Hope","L'hôpital privé Chicago Hope réunit les meilleurs docteurs de la région, et chacun s'investit à fond pour sauver des vies, au risque de sacrifier sa vie personnelle.",470.831,"/x8ic33t4NurJul1oXmvKwKtWH28.jpg",7.4,63,6,141,9
261,"/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg","2013-03-03","[10759,18,10768]",44217,"Vikings","[""CA""]","en","Vikings","Les exploits d'un groupe de vikings de la fin du 8ème siècle jusqu'au milieu du 11ème, mené par Ragnar Lodbrok, l'un des plus populaires héros viking de tous les temps, qui a régné quelques temps sur le Danemark et la Suède...",466.779,"/kF7TkNOil6oihykSEaMoK80iZ31.jpg",8.1,6431,6,89,9
262,"/5S0SI4NjyMji05OPL0GOZ4BsiMh.jpg","2020-01-20","[10764]",136166,"Lang Leve de Liefde","[""NL""]","nl","Lang Leve de Liefde","",462.56,"/9lpvvzEl5kViIc2vUJG4QKzj2ds.jpg",6,0,6,819,9
263,"/fXRgyxFxT3SG45fDqUODDRNE9IJ.jpg","2017-09-25","[35,10751]",71728,"Young Sheldon","[""US""]","en","Young Sheldon","Au Texas, un état où le football et la religion règnent, il n'est pas facile d'être un esprit scientifique hors du commun. Cette série raconte la jeunesse de Sheldon Cooper, personnage atypique et excentrique de la série THE BIG BANG THEORY. Alors que le jeune garçon cherche comment évoluer au sein de sa très normale famille, cette dernière doit aussi trouver un moyen de comprendre cet être à la fois malaisant et attachant. Avec Jim Parsons et Iain Armitage.",462.285,"/MpdROQ5XxQqOMKhJlLUf7PTxIC.jpg",8.1,2164,6,127,9
264,"/5BMwFwNzSidVYArn561acqtktxv.jpg","2005-09-19","[35]",1100,"How I Met Your Mother","[""US""]","en","How I Met Your Mother","Ted se remémore ses jeunes années, lorsqu'il était encore célibataire. Il raconte à ses enfants avec nostalgie ses moments d'égarements et de troubles, ses rencontres et ses recherches effrénées du Grand Amour et les facéties de sa bande d'amis...",461.638,"/zat4C4cnFYFhFLW922VmcxobD9C.jpg",8.2,4427,9,208,9
265,"/eUMwG5vXg4ovEUvXLAFgrr4bQvp.jpg","2010-10-31","[10759,18,10765]",1402,"The Walking Dead","[""US""]","en","The Walking Dead","Après une apocalypse, ayant transformé la quasi-totalité de la population en zombies, un groupe d'hommes et de femmes, mené par le shérif adjoint Rick Grimes, tente de survivre... Ensemble, ils vont devoir, tant bien que mal, faire face à ce nouveau monde, devenu méconnaissable, à travers leur périple dans le Sud profond des États-Unis.",461.307,"/mM0TulO84PK2yqMJhb1h0NpNfEo.jpg",8.1,15518,11,177,9
266,"/d4uBYX4ssmzyR8E2Nvc7O4ZjulR.jpg","2023-06-18","[10764]",225553,"Gran hermano","[""CL""]","es","Gran hermano","",460.577,"/A4MmFM6NlrsexPccslCZzqv8HsD.jpg",0,0,1,100,9
267,"/7lYBvjfgrguOUgnS9NrpysHtaCq.jpg","1967-03-28","[80,18,9648]",4582,"L'Homme de fer","[""US""]","en","Ironside","Après avoir reçu une balle dans la colonne vertébrale, le redoutable policier Robert Dacier (Robert T. Ironside en version originale) se retrouve dans un fauteuil roulant, privé de l'usage de ses jambes. Il est entouré d'une équipe efficace avec laquelle il continue à mener ses enquêtes policières.",460.37,"/hyu3hyWu7Oci6P5MaEvyOd2x4Kf.jpg",6.9,56,8,200,9
268,"/sAzw6I1G9JUxm86KokIDdQeWtaq.jpg","2019-02-15","[10765,18]",79501,"Doom Patrol","[""US""]","en","Doom Patrol","Les membres de la Doom Patrol ont chacun subi des accidents horribles qui leur ont conféré des capacités surhumaines - mais les ont également laissés marqués et défigurés. Traumatisée et opprimée, l’équipe a trouvé sa raison d’être par le biais du Chef, qui les a réunis pour enquêter sur les phénomènes les plus étranges qui existent - et pour protéger la Terre de ce qu’ils découvrent.",451.49,"/muIcIHBEGXiSzz7RNGisnTR3xU4.jpg",7.6,1227,4,46,9
269,"/wqv0cFJ2NLJAMtFAKDnDqZeoVuQ.jpg","2003-02-21","[35,10767]",4419,"Real Time with Bill Maher","[""US""]","en","Real Time with Bill Maher","Chaque semaine, Bill Maher s'entoure d'un panel d'invités qui comprend des politiciens, des acteurs, des comédiens, des musiciens et autres, pour discuter de ce qui se passe dans le monde.",451.401,"/2c918aWv3zlZjfvg8lCGuje111W.jpg",6.1,176,21,641,9
270,"/isPWZirQUCHpQ8aJZHa5s3EVXv1.jpg","2016-01-21","[10759,10765,18]",62643,"DC's Legends of Tomorrow","[""US""]","en","DC's Legends of Tomorrow","Un mystérieux ""maître du temps"" revenu du futur fait appel à des super-héros et des méchants pour former une équipe d'élite qui protégera la planète contre un tyran.",451.358,"/tAwfCIwA2BHR4H6j5hENvI3dbAl.jpg",7.3,2146,7,110,9
271,"/soQgquPkLmUu9eKLJJzuA4KZDyi.jpg","2017-01-26","[80,18,9648]",69050,"Riverdale","[""US""]","en","Riverdale","Sous ses airs de petite ville tranquille, Riverdale cache en réalité de sombres secrets. Alors qu'une nouvelle année scolaire débute, le jeune Archie Andrews et ses amis Betty, Jughead, et Kevin voient leur quotidien bouleversé par la mort mystérieuse de Jason Blossom, un de leurs camarades de lycée. Alors que les secrets des uns et des autres menacent de remonter à la surface, et que la belle Veronica, fraîchement débarquée de New York, fait une arrivée remarquée en ville, plus rien ne sera jamais comme avant à Riverdale...",422.324,"/jZ06hkecIfBf46ftfMc5ANaaU2p.jpg",8.5,13205,7,137,11
272,"/rNlYsPO8oqZrxedntqqzfyPJNzq.jpg","2014-09-25","[80,18,9648]",61056,"Murder","[""US""]","en","How to Get Away with Murder","Annalise Keating, brillante avocate et professeur de droit, se retrouve impliquée dans une affaire de meurtre avec cinq de ses étudiants.",418.488,"/bJs8Y6T88NcgksxA8UaVl4YX8p8.jpg",7.9,1449,6,90,11
273,"/mnASvq84XWrEpyDJzt1NzXdcREp.jpg","1948-10-03","[18]",10809,"The Philco Television Playhouse","[""US""]","en","The Philco Television Playhouse","",415.398,"/nnsKNCd14JjRTnaz6OZh4sQoNV6.jpg",5.3,4,8,267,11
274,"/iXPZWF2r8Jm06T1HD2frOsAakVv.jpg","1967-09-16","[10759,80,9648,18]",2813,"Mannix","[""US""]","en","Mannix","Joe Mannix est un enquêteur au service de la société Intersect. Dirigée par Lew Wickersham, cette agence peut toujours compter sur ses ordinateurs super puissants pour gérer les crises et obtenir des informations. Pourtant, Mannix, son meilleur agent, privilégie le terrain. Retrouver des personnes disparues, rechercher des objets volés ou démêler des affaires de corruption sont dans ses cordes. En raison de ses méthodes de vraie tête brûlée trop solitaire, le justicier au brushing impeccable entre très souvent en conflit avec son supérieur, dont la vision d’une affaire n’est jamais la même.",412.727,"/8Nh2D2dHKJnUbRHqLS5QsKWJuPb.jpg",6.8,41,8,194,11
275,"/7F9pXKnGsjPRiHGi14xKVlIxUI3.jpg","2023-10-30","[18]",152551,"我要逆风去","[""CN""]","zh","我要逆风去","",408.806,"/xjB5bSjQwuYnKH0ZXzvXn9tOnH8.jpg",0,0,1,40,11
276,"/shJhgNuC2a4hPdqvm8IDXFvYwLx.jpg","2016-09-20","[18]",67136,"This Is Us","[""US""]","en","This Is Us","Jack vit à Pittsburgh avec sa femme Rebecca, sur le point de donner naissance à des triplés. Arrivé à l'hôpital, le couple est pris en charge par le docteur Katowski. Kevin, jeune acteur lassé par la futilité du rôle qu'il tient dans une série, s'interroge sur sa carrière tandis que sa sœur jumelle, Kate, toujours au régime, est désespérée par ses kilos en trop. Abandonné à la naissance devant une caserne de pompiers, Randall, brillant juriste, a fait mener des recherches pour retrouver son père biologique mais hésite à le rencontrer. Ils ont en commun d'être nés le même jour et s'apprêtent à fêter leur trente-sixième anniversaire...",408.33,"/nbKEJpUJP2ZTQxUdG8FvPYAa8wC.jpg",8.2,1322,6,105,11
277,"/7YFranrnnIcCrgsLYQsoq8aE3Ir.jpg","1995-01-16","[10765,18,10759]",1855,"Star Trek : Voyager","[""US""]","en","Star Trek: Voyager","L'USS Voyager, commandé par le capitaine Kathryn Janeway, est précipité par une entité nommée le Pourvoyeur dans le quadrant Delta, à environ 75 000 années-lumière de la Terre, dès sa première mission.

Le capitaine s'efforce de trouver un moyen de ramener sur Terre son vaisseau, mais les choses sont plus compliquées qu'il y paraît : le voyage de retour devrait durer soixante-quinze ans en maintenant le Voyager à vitesse sa maximale. Le capitaine Janeway et l'équipage du Voyager vont devoir trouver comment accélérer leur retour vers la Terre, tout en étant mêlés bien malgré eux aux événements en cours dans le quadrant Delta...",407.304,"/gNS5tRSG3UlXodCxznKKOKweqxh.jpg",7.9,803,7,171,11
