"id","movie_Id","air_date","nbr_episodes","name","poster_path","vote_average"
1015,873,"1968-02-20",2,"Épisodes spéciaux","/kSDcX9W7h42R4AtpFVCIaQyGJLZ.jpg",0
1016,873,"1971-09-15",7,"Saison 1","/g9JuqiW1aqPNgHTlLkyxNKdD1vr.jpg",7
1017,873,"1972-09-17",8,"Saison 2","/yHmCa3yRJOGqzEJ5SB1CpBwKgyi.jpg",7.2
1018,873,"1973-09-23",8,"Saison 3","/4duaEKoakXh7OmzaaK2Bq5FFaoy.jpg",7.4
1019,873,"1974-09-15",6,"Saison 4","/y9TkgHzAB8Nre8zPlveiEQ5NXU.jpg",7.4
1020,873,"1975-09-14",6,"Saison 5","/fiTFMRPoQkGmuRvBw5Whb9tGDSo.jpg",6.8
1021,873,"1976-10-10",3,"Saison 6","/j5hrf0gfwEcYcLnUsKvnZMLg4Ug.jpg",7
1022,873,"1977-11-21",5,"Saison 7","/4HAyMo8Os9aKqunCk3ATwTNAlZb.jpg",7.1
1023,873,"1989-02-06",4,"Saison 8","/lcrG4q4p3jhQatQyf0qWD4rcTem.jpg",6.9
1024,873,"1989-11-25",6,"Saison 9","/xhgCXusrjkZbLZGZjZZRx6H64zn.jpg",7.1
1025,873,"1990-12-09",14,"Saison 10","/50Su8l5cN0H9A0rGn8cbohaaJT0.jpg",6.9
1026,17362,"1961-09-28",33,"Saison 1","/wXYn4t3nBaCgH8Kj1jxeZX5oW2z.jpg",0
1027,17362,"1962-09-27",34,"Saison 2","/76FmTwMM3u5ySEnKUAnVyRV0qZA.jpg",0
1028,17362,"1963-09-26",34,"Saison 3","/bK7QX7PYxZKIBYWazS44tkRu7zv.jpg",0
1029,17362,"1964-09-24",32,"Saison 4","null",0
1030,17362,"1965-09-13",58,"Saison 5","/43dKEMzEVygvuIIoepuq1S1NzUJ.jpg",0
1031,10083,"null",14,"Épisodes spéciaux","/k9Mm4WA7Tvv8RjmSaLXHy7qdN2z.jpg",0
1032,10083,"1963-09-17",30,"Saison 1","/vfJ8IXZkMleYXDsP5kj8u7PnApI.jpg",0
1033,10083,"1964-09-15",30,"Saison 2","/qiUGtBiOZroptvADoXmJE9EzL63.jpg",0
1034,10083,"1965-09-14",30,"Saison 3","/cAUcKVOhXFvjUEYEap8pqtGML3M.jpg",0
1035,10083,"1966-09-13",30,"Saison 4","/r2cf2d2PAgX3H3umwqd9B2Jq9Dj.jpg",0
1036,10536,"1961-12-11",21,"Saison 1","null",0
1037,10536,"null",8,"Saison 2","null",0
1038,10536,"1963-08-26",31,"Saison 3","null",0
1039,10536,"null",16,"Saison 4","null",0
1040,10536,"null",15,"Saison 5","null",0
1041,10536,"null",20,"Saison 6","null",0
1042,10536,"1970-05-28",13,"Saison 7","null",0
1043,10536,"null",7,"Saison 8","null",0
1044,10536,"null",17,"Saison 9","null",0
1045,10536,"1971-07-06",28,"Saison 10","null",0
1046,10536,"1971-08-30",27,"Saison 11","null",0
1047,10536,"null",33,"Saison 12","null",0
1048,10536,"1973-08-27",17,"Saison 13","null",0
1049,10536,"null",16,"Saison 14","null",0
1050,10536,"null",38,"Saison 15","null",0
1051,10536,"null",21,"Saison 16","null",0
1052,10536,"1977-01-05",25,"Saison 17","null",0
1053,10536,"1978-10-02",22,"Saison 18","null",0
1054,10536,"null",15,"Saison 19","null",0
1057,48891,"2015-08-30",3,"Épisodes spéciaux","null",0
1058,48891,"2013-09-17",22,"Saison 1","/6UEUurR6Hb277ij9vZRVjx24Udp.jpg",7.8
1059,48891,"2014-09-28",23,"Saison 2","/w3WcxtO3FRxSxE0RAJuAUR2ZAav.jpg",7.7
1060,48891,"2015-09-27",23,"Saison 3","/nANfJdvb4GRl5p45PTNvpMhaqu7.jpg",7.5
1061,48891,"2016-09-20",22,"Saison 4","/yxNc7Klk1OTlo9CvLUCbZBGS2LK.jpg",7.6
1062,48891,"2017-09-26",22,"Saison 5","/fXzMs8IUQtTARFVbckceyXjcnaz.jpg",7.5
